title,author,genres,plot,vote_average,vote_count,release_date,large_cover_url
Bird on a Wire,John Badham,"Action, Adventure, Comedy, Romance","An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.",6.216,921,1990-05-18,https://image.tmdb.org/t/p/original/n2ZxwZXxTYb2kMZezpiefltY5zu.jpg
The Trials of Cate McCall,Karen Moncrieff,Drama,"In order to be reinstated to the bar and recover custody of her daughter, a hotshot lawyer, now in recovery and on probation, must take on the appeal of a woman wrongfully convicted of murder.",6.3,290,2013-11-28,https://image.tmdb.org/t/p/original/7VXmLkrTxymAL4RyWkTfVqYQEPg.jpg
Infinity Pool,Brandon Cronenberg,"Horror, Science Fiction","While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",6.103,778,2023-01-27,https://image.tmdb.org/t/p/original/5DNRr2juXdwtvktwXxwuk9Usk8O.jpg
There's Something in the Barn,Magnus Martens,"Horror, Comedy, Fantasy",An American family fulfills their dream of moving back to their roots after inheriting a remote cabin in the mountains of Norway. But there's a surprise waiting for them.,6.19,174,2023-11-02,https://image.tmdb.org/t/p/original/axrzMJR5VPWYNiW9ArENiMEPTjr.jpg
Richard Jewell,Clint Eastwood,Drama,"Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",7.426,2490,2019-12-13,https://image.tmdb.org/t/p/original/7OGXHGMr3v5VMdXJ5ZU97gWlxpY.jpg
Dilig,Christian Paolo Lat,Drama,"About to get married to an old, wealthy businessman, Resa enlists the help of gardener Otso to seduce her fiancé’s daughter, Katelyn, and record his sexploits with her in order to get her disowned.",4.3,3,2024-01-30,https://image.tmdb.org/t/p/original/l9PMWZGGzi0YixsBhN8wvxPwqlq.jpg
Noroi: The Curse,Koji Shiraishi,"Horror, Mystery, Thriller","A documentary filmmaker explores seemingly unrelated paranormal incidents connected by the legend of an ancient demon called the ""kagutaba.""",6.9,329,2005-08-20,https://image.tmdb.org/t/p/original/yjXTmyLaOqljI5pFNbrEZ213dSW.jpg
Devil,John Erick Dowdle,"Horror, Mystery, Thriller","A group of people are trapped in an elevator high above Philadelphia, and one of them is the devil.",6.1,2847,2010-09-16,https://image.tmdb.org/t/p/original/6BoR5jUXNZRtE1mCQgmnI63lGcN.jpg
Wet Woman in the Wind,Akihiko Shiota,"Drama, Romance","Dissipated Tokyo playwright, Kosuke has retreated to the countryside after deciding that he's done with women, but the indefatigable cat-in-heat Shiori has other ideas, clinging to Kosuke like his shadow.",5.652,56,2016-12-17,https://image.tmdb.org/t/p/original/nalCNN0ub1S3th0tND81mfMvvMi.jpg
Payback,Brian Helgeland,"Action, Drama, Crime, Thriller","With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",6.8,1785,1999-02-05,https://image.tmdb.org/t/p/original/dbVl7HpJDg60FSsdBR579294HXW.jpg
Hidalgo,Joe Johnston,"Western, Adventure","Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",6.9,1210,2004-02-04,https://image.tmdb.org/t/p/original/xkjNgLJREoRN1bRRNc4Ahd41Kcn.jpg
Lord of Misrule,William Brent Bell,Horror,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",6.061,98,2023-10-26,https://image.tmdb.org/t/p/original/r9YVidx1PEohZLNtyJm05OMiPuD.jpg
The Imaginary,Yoshiyuki Momose,"Animation, Adventure, Drama, Family, Fantasy","Amanda and her imaginary friend Rudger go on thrilling make-believe adventures. But when Rudger finds himself alone, he faces a mysterious threat.",7.926,54,2023-12-15,https://image.tmdb.org/t/p/original/cPUCiKFfD1YbY23LoOHxqmJYcou.jpg
Darby O'Gill and the Little People,Robert Stevenson,"Adventure, Family, Fantasy, Romance",A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.,6.662,151,1959-06-24,https://image.tmdb.org/t/p/original/quZlrS4JzBRQEGXNL8lQWVcCwc3.jpg
Life,Ted Demme,"Comedy, Crime",Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,6.653,783,1999-04-16,https://image.tmdb.org/t/p/original/AmYxcKpr9H3FgpMbU4GyelIVKyp.jpg
Sex: A Relationship and Not Marriage,Jo Kyeong-hoon-I,Drama,"The life story of a woman who doesn't want to settle for one man. Her mom nags at her to get married, her superior grills her to bring results and her boyfriend turns out to be married. Soo-kyeong comforts herself with some spicy food. One lonely birthday, she ends up having sex with the chef of the spicy food restaurant. They fit well mentally and physically so they get closer but Soo-kyeong rejects the chef's marriage proposal. The chef gets married with someone else and asks her, ""I got married with someone else like you said. Now will you have a relationship with me?""",5.7,9,2016-04-19,https://image.tmdb.org/t/p/original/j3gFifMCgyIF63AI69HzDW6Cj9X.jpg
The Tower,Guillaume Nicloux,"Horror, Fantasy, Drama","In the heart of a city, the inhabitants of a tower wake up one morning to find that their building is shrouded in an opaque fog, obstructing doors and windows - a strange dark matter that devours anything that tries to pass through it. Trapped, the residents try to organize themselves, but to ensure their survival they gradually succumb to their most primitive instincts, until they sink into horror...",4.7,124,2023-02-08,https://image.tmdb.org/t/p/original/AntmPfbbt8Hrlw0M7lfm6cYwJYa.jpg
Black Candles,José Ramón Larraz,Horror,"A young woman travels with her partner to England on the unexpected death of her brother. Staying with her sister-in-law, she finds her companion soon drawn into a satanic cult based in the house whose rites seem to centre somewhat on large-scale sexual congress.",6.3,135,1982-01-01,https://image.tmdb.org/t/p/original/xBLOjlSsKaYM9hrVPM5r59YwDEH.jpg
Sandy Wexler,Steven Brill,Comedy,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",5.5,542,2017-04-14,https://image.tmdb.org/t/p/original/38SDqWOt4utiLOnWlas7BfrYQGS.jpg
Kulong,Sigrid Polon,Drama,"Vivamax beauties Jenn Rosa, Caris Manzano and Aica Veloso come together as friends who lock themselves in at a resort to write a sexy screenplay for a contest. But how can they write a sexy screenplay when none of them has had any sex for quite some time?",5.5,2,2024-05-24,https://image.tmdb.org/t/p/original/4JMLRHNP6Lx7m6Q88aLgrAFY0Ls.jpg
Sniper: Rogue Mission,Oliver Thompson,"Action, Thriller, Mystery","When a crooked federal agent is involved in a human sex trafficking ring, Sniper and CIA Rookie Brandon Beckett goes rogue, teaming up with his former allies Homeland Security Agent Zero and assassin Lady Death to uncover the corrupt agent and take down the criminal organization.",6.3,141,2022-08-16,https://image.tmdb.org/t/p/original/4s2xmpnXBCqVyrawpOw4bBZCzUE.jpg
The Belko Experiment,Greg McLean,"Horror, Thriller",A group of eighty American workers are locked in their office and ordered by an unknown voice to participate in a twisted game.,6.2,1470,2016-03-17,https://image.tmdb.org/t/p/original/faJK0dP3S92kQoKtO4LZMjy41kf.jpg
Bronson,Nicolas Winding Refn,"Drama, Action, Crime","A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",7.0,2450,2009-03-13,https://image.tmdb.org/t/p/original/d3IlcQrF6xGewAFzEV89dd7UVG7.jpg
Backtrace,Brian A. Miller,"Crime, Action, Adventure, Thriller",The lone surviving thief of a violent armored car robbery is sprung from a high security facility and administered an experimental drug.,5.0,222,2018-12-14,https://image.tmdb.org/t/p/original/2M1M8nhWZ9jNiYTodEwuqCWOnjc.jpg
Martha Marcy May Marlene,Sean Durkin,"Drama, Thriller","After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader.",6.6,737,2011-10-21,https://image.tmdb.org/t/p/original/2j8YEn9aJTpR1JbeX8oOUxGXVKl.jpg
Which Brings Me to You,Peter Hutchings,"Romance, Comedy, Drama","Two romantic burnouts, Jane and Will, are immediately drawn to each other at a mutual friend’s wedding. After a disastrous hookup in the coatroom, the two spend the next 24 hours together, trading candid confessions of messy histories and heartbreak, on the off chance that this fling might be the real thing.",6.178,135,2023-12-08,https://image.tmdb.org/t/p/original/hOlOkhLd3L5Wbe0bdD8gpiFPaAx.jpg
Half a Kingdom for Love,Aleksandr Khvan,"Romance, Drama","Kristina, a student at an English university, comes on vacation to the house of her father, a successful businessman. A man has long lost his wife and introduces his daughter to his new love Natalia. However, the flighty, spoiled, accustomed to luxury and easy money, Kristina does not want to accept her.",1.5,1,2014-09-01,https://image.tmdb.org/t/p/original/aqBI3mMj5rHtuEfp0D8dP9OHQ2a.jpg
Innocent Blood,John Landis,"Comedy, Horror, Thriller, Crime","Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger.",6.092,211,1992-09-25,https://image.tmdb.org/t/p/original/4EXjTbJouPlOJWV5Z7O7vUhpHyN.jpg
Top Secret!,Jim Abrahams,Comedy,"Popular and dashing American singer Nick Rivers travels to East Germany to perform in a music festival. When he loses his heart to the gorgeous Hillary Flammond, he finds himself caught up in an underground resistance movement. Rivers joins forces with Agent Cedric and Flammond to attempt the rescue of her father, Dr. Paul, from the Germans, who have captured the scientist in hopes of coercing him into building a new naval mine.",7.101,1167,1984-06-08,https://image.tmdb.org/t/p/original/tB1hQjQIqWXUcwS4qSKBk7A4nDY.jpg
In Hell,Ringo Lam,"Action, Drama, Thriller",A man must survive a prison where hardened criminals battle to the death for the warden's entertainment.,6.529,527,2003-11-24,https://image.tmdb.org/t/p/original/vE2fYcP07fbIHoouATNErRQuNrw.jpg
The Disorderly Orderly,Frank Tashlin,"Comedy, Romance","Poor Jerome Littlefield. He wants to be a doctor – but that's not exactly the perfect career choice when you're hopelessly squeamish. So he settles for the job of orderly at the Whitestone Sanitarium, a career move that's guaranteed to keep the patients – and viewers – in stitches!",6.3,77,1964-12-16,https://image.tmdb.org/t/p/original/8EBWK6GbhT2RdYWofAABO0VGgu.jpg
After Porn Ends 2,Bryce Wagoner,Documentary,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",5.4,233,2017-03-28,https://image.tmdb.org/t/p/original/eLYKLIIJDBhbXEtmagkHCcDt8eD.jpg
Bachelor Party,Neal Israel,Comedy,"On the eve of his wedding to his longtime girlfriend, unassuming nice guy Rick is dragged out for a night of debauchery by his friends.",6.286,641,1984-06-29,https://image.tmdb.org/t/p/original/cbCyhkp6n2QRudYqbWimQTjdxLl.jpg
Master and Commander: The Far Side of the World,Peter Weir,"Adventure, Drama, War","After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",7.2,3148,2003-11-14,https://image.tmdb.org/t/p/original/aI4BpWu60ypkIO9HjIFISiyV5IQ.jpg
Treasure Island,Fraser Clarke Heston,"Adventure, Family, TV Movie","Young Jim Hawkins, while running the Benbow Inn with his mother, meets Captain Billy Bones, who dies at the inn while it is beseiged by buccaneers led by Blind Pew. Jim and his mother fight off the attackers and discover Billy Bones' treasure map for which the buccaneers had come. Jim agrees to sail on the S.S. Espaniola with Squire Trelawney and Dr. Livesey to find the treasure on a mysterious isiand. Upon arriving at the island, ship's cook and scaliwag Long John Silver leads a mutiny of crew members who want the treasure for themselves. Jim helps the Squire and Espaniola officers to survive the mutiny and fight back against Silver's men, who have taken over the Espaniola.",6.5,128,1990-01-22,https://image.tmdb.org/t/p/original/mIj8UjP9qYxQd1pLeudjmrV3PFv.jpg
Death Whisperer 2,Taweewat Wantha,"Horror, Thriller, Action","In a world shrouded by darkness, a relentless force seeks retribution, undeterred by boundaries or morality.",8.3,6,2024-10-10,https://image.tmdb.org/t/p/original/xPTyukOmTrJDwGPwHYwxEMieaqk.jpg
Made of Honor,Paul Weiland,"Comedy, Romance","Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",6.454,1651,2008-04-30,https://image.tmdb.org/t/p/original/ymBcN9ZCt8kvu9O5hIteWQDRe6K.jpg
Manhattan,Woody Allen,"Comedy, Drama, Romance",Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,7.724,2390,1979-04-25,https://image.tmdb.org/t/p/original/kibJssnfCiRBDsqASiSg0PBhBUn.jpg
Partysaurus Rex,Mark A. Walsh,"Family, Animation, Comedy","When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends.",7.134,480,2012-09-14,https://image.tmdb.org/t/p/original/rnCVDSbSju6MPQO2LRDiz5ZRZ4q.jpg
The Scorpion King 3: Battle for Redemption,Roel Reiné,"Action, Adventure, Fantasy, Drama","Since his triumphant rise to power in the original blockbuster ""The Scorpion King"", Mathayus' kingdom has fallen and he's lost his queen to plague. Now an assassin for hire, he must defend a kingdom from an evil tyrant and his ghost warriors for the chance to regain the power and glory he once knew. Starring Ron Perlman (""Hellboy"") and Billy Zane (""Titanic""), and featuring 6-time WWE champion Dave Bautista and UFC star Kimbo Slice, ""The Scorpion King 3: Battle for Redemption"" takes ""The Mummy"" phenomenon to an all-new level of epic action and non-stop adventure.",4.6,339,2012-01-17,https://image.tmdb.org/t/p/original/2NtkHJWkKoXBnnonh00elfQRPo2.jpg
Planet Terror,Robert Rodriguez,"Horror, Action, Thriller","Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry Darling, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend El Wray lead a team of accidental warriors into the night.",6.677,3487,2007-04-06,https://image.tmdb.org/t/p/original/loRpTw4tKVRKmRTA8AcWgiIemTR.jpg
Up in the Air,Jason Reitman,"Drama, Romance","Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he’s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.",6.87,3610,2009-12-04,https://image.tmdb.org/t/p/original/useGH8nfwlaHK44IWEZdUYJOE2N.jpg
Sissi,Ernst Marischka,"Comedy, Drama, Romance","The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love.",7.4,469,1955-12-22,https://image.tmdb.org/t/p/original/6qwzqU6qwDCFl0apaU8DrWfaYsb.jpg
The Foreigner,Michael Oblowitz,"Action, Thriller",This story is about a freelance agent who is the courier of a package from France to Germany. He soon finds that many people want to get their hands on it.,3.9,148,2003-06-01,https://image.tmdb.org/t/p/original/guFZKIgFqvjMBodWICZaoUQ7sw2.jpg
The Cult,Alexandre Alonso,Horror,"When a young woman relocates to a small town in Europe, she notices the place has something weird. As time goes by, she starts to fear for her life. Based on actual events and in the book the day she became plastic.",8.0,7,2024-06-01,https://image.tmdb.org/t/p/original/mmDEyYd66Et6GsuB0Etj9ifQwTr.jpg
Kahar: Kapla High Council,Razaisyam Rashid,"Action, Crime, Drama","Set in 2005, socially invisible Kahar risks tainting his family’s KUDRAT legacy when he volunteers for the Pilihanraya in order to protect his best friend. In this opportunity to rebrand himself, we witness the transformation of Kahar, from what begins as a noble act steers Kahar into the path of malevolence and tyranny.",5.4,9,2024-11-28,https://image.tmdb.org/t/p/original/x4ucff9T7582SM9SAW5FpY9jemT.jpg
The Wild,Steve Williams,"Family, Animation","An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",5.5,1046,2006-04-06,https://image.tmdb.org/t/p/original/8AN4cggKoVoYU5ebMOx3LUuRKFy.jpg
Technoboys,Luis Gerardo Méndez,"Comedy, Music","They're fierce, they're iconic, they're back — and they're totally lost. A boyband seeking a renaissance must navigate a world they barely understand.",6.4,31,2024-09-05,https://image.tmdb.org/t/p/original/kPcPmq9Dwqswjwx0SeugcqlWAQs.jpg
Force of Nature: The Dry 2,Robert Connolly,"Mystery, Thriller","When five women take part in a corporate hiking retreat and only four come out on the other side, Federal Agents Aaron Falk and Carmen Cooper head deep into the Victorian mountain ranges to investigate in the hopes of finding their whistle-blowing informant, Alice Russell, alive.",6.5,141,2024-02-08,https://image.tmdb.org/t/p/original/qSyDO8dvG5Vg4dJrg98u8eWtPkP.jpg
Curse of the Golden Flower,Zhang Yimou,"Action, Drama, Fantasy","During China's Tang dynasty the emperor has taken the princess of a neighboring province as his wife. She has borne him two sons and raised his eldest. Now his control over his dominion is complete, including the royal family itself.",6.8,725,2006-12-14,https://image.tmdb.org/t/p/original/gHkkDpfo5YnOrbVfwtDHi91BkrU.jpg
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"Crime, Drama","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",8.069,10085,2017-12-01,https://image.tmdb.org/t/p/original/5VtVgiwgQ2DOIS1EtIPpvXLOOmG.jpg
Breaking the Silence: The Maria Soledad Case,Lorena Muñoz,Documentary,"In '90s Argentina, the murder of a high school student sparks widespread protests. Retold by her loved ones, this documentary shows their fight for justice.",7.1,15,2024-10-09,https://image.tmdb.org/t/p/original/3irwzj1cFInr0g6N0j2eSymJ6b6.jpg
Resident Evil: Vendetta,Takanori Tsujimoto,"Animation, Horror, Adventure, Action, Science Fiction",BSAA Chris Redfield enlists the help of government agent Leon S. Kennedy and Professor Rebecca Chambers from Alexander Institute of Biotechnology to stop a death merchant with a vengeance from spreading a deadly virus in New York.,6.896,975,2017-05-27,https://image.tmdb.org/t/p/original/r27iDZNaoyLJyKlD8eNchRtvq8C.jpg
The Servant,Kim Dae-woo,"Romance, Drama, History, Comedy","A servant falls in love with a girl whom his master also desires. Although the girl loves the servant, she also longs to improve her station in life.",5.8,30,2010-06-02,https://image.tmdb.org/t/p/original/2rb1fDjeVMM8J6KzBydBv57y0Dt.jpg
Young Frankenstein,Mel Brooks,Comedy,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",7.9,3115,1974-12-15,https://image.tmdb.org/t/p/original/yqiOt0JHXPMgjwDjbJeZuxOGTXu.jpg
The Retirement Plan,Tim Brown,"Action, Comedy, Crime","When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to the only person who can help: her estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands. Their reunion is fleeting as they are soon tracked down on the island by crime boss Donnie and his lieutenant Bobo. As Ashley, Sarah, and Matt become entangled in an increasingly dangerous web, Ashley quickly learns her father had a secret past that she knew nothing about and that there is more to her father than meets the eye.",6.2,208,2023-08-24,https://image.tmdb.org/t/p/original/oiIqg7n8WXjIammZumXbaC5ognp.jpg
Savageland,Simon Herbert,"Horror, Crime, Thriller","When a small town near the Arizona-Mexico border is wiped out overnight, suspicion falls on the lone survivor. But a roll of photos the survivor took that night tells a different story.",6.795,83,2015-11-01,https://image.tmdb.org/t/p/original/1pW7H0WkgSzlgNGzFHeKDDh1Yi2.jpg
American Mary,Jen Soska,"Horror, Thriller",A young medical student struggling to pay tuition is drawn into the shady world of underground body-modification.,6.2,515,2013-01-11,https://image.tmdb.org/t/p/original/oHwyNKHm41Y6WPRCHL0zOzytGvL.jpg
Pantasya ni Tami,Easy Ferrer,"Drama, Romance","Tami, with the help of her fubu photographer, Ken, sells sexy photos of herself. When she meets her fan, Gelo, who loves her as she is, she is torn whether to leave cosplaying or leave Gelo.",1.0,2,2024-01-26,https://image.tmdb.org/t/p/original/o1kk7iwp8x2TDq80HpUkVn9kxqL.jpg
Ghost in the Shell 2: Innocence,Mamoru Oshii,"Animation, Drama, Science Fiction","Cyborg detective Batou is assigned to investigate a series of murders committed by gynoids—doll-like cyborgs, which all malfunctioned, killed, then self-destructed afterwards. The brains of the gynoids initialize in order to protect their manufacturer's software, but in one gynoid, which Batou himself neutralized, one file remains: a voice speaking the phrase ""Help me.""",7.32,856,2004-03-06,https://image.tmdb.org/t/p/original/aBfO6rxsIQ0dpvk2pUhFVlb2fZt.jpg
Eastern Promises,David Cronenberg,"Thriller, Crime, Mystery",A Russian teenager living in London dies during childbirth but leaves clues in her diary that could tie her child to a rape involving a violent Russian mob family.,7.4,3332,2007-09-14,https://image.tmdb.org/t/p/original/dpiJWb4NrWgcOg2rusuLhDM0hTm.jpg
Just Friends,Annemarie van de Mond,"Romance, Drama, Comedy","Joris is trying to come to terms with his broken family relationships on the 10th anniversary of his father’s death when he meets the free-spirited, Yad. Also dealing with family issues, Yad has returned home to The Netherlands after living on his own. Joris and Yad spark an instant connection and decide they want to be more than “just friends,” but fear their families could threaten their relationship.",7.0,105,2018-03-07,https://image.tmdb.org/t/p/original/5cdAQT17rzZ5c1LaxbocyhkadGY.jpg
The Admiral: Roaring Currents,Kim Han-min,"War, Action, Drama, History","The film mainly follows the famous 1597 Battle of Myeongryang during the Japanese invasion of Korea 1592-1598, where the iconic Joseon admiral Yi Sun-sin managed to destroy a total of 133 Japanese warships with only 13 ships remaining in his command. The battle, which took place in the Myeongryang Strait off the southwest coast of the Korean Peninsula, is considered one of the greatest victories of Yi.",6.97,285,2014-07-30,https://image.tmdb.org/t/p/original/e7civX8IWFMVoj7JxaETYe0VUJo.jpg
Looney Tunes: Back in Action,Joe Dante,"Animation, Comedy, Family","Fed up with all the attention going to Bugs Bunny, Daffy Duck quits Hollywood, teams up with recently-fired stuntman Damien Drake Jr. and embarks on a round-the-world adventure, along with Bugs and The VP of Warner Bros. Their mission? Find Damien's father, and the missing blue diamond... and stay one step ahead of The Acme Corp., who wants the diamond for their own purposes.",6.3,1496,2003-11-14,https://image.tmdb.org/t/p/original/tI1CVWRH7iG6tp7hcAz2wYVcltZ.jpg
G.I. Jane,Ridley Scott,"Action, Drama","In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its combat services. The program begins with a single trial candidate, Lieutenant Jordan O'Neil, who is chosen specifically for her femininity. O'Neil enters the grueling Navy SEAL training program under the command of Master Chief John James Urgayle, who unfairly pushes O'Neil until her determination wins his respect.",6.47,1676,1997-08-19,https://image.tmdb.org/t/p/original/h9Sr3TUZmI3cCvJYfH9r1ui1uYS.jpg
Becky,Jonathan Milott,"Thriller, Horror, Action",A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,6.3,575,2020-07-23,https://image.tmdb.org/t/p/original/9wqKF883Kn9c0SZV4ZmkIkFhBLh.jpg
After Hours,Martin Scorsese,"Comedy, Thriller, Drama","Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett ventures downtown for a hookup with a mystery woman.",7.48,1472,1985-08-16,https://image.tmdb.org/t/p/original/5yRlBTZX76f6dXkf69zESxIGhth.jpg
Hitch,Andy Tennant,"Comedy, Drama, Romance","Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",6.564,5758,2005-02-11,https://image.tmdb.org/t/p/original/x3W9H3nhGQbWSlyI8Amp2F6Z6cz.jpg
The Orphanage,J. A. Bayona,"Horror, Drama, Thriller","A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",7.2,2863,2007-05-20,https://image.tmdb.org/t/p/original/sLdqy2O7vsYyvpKKU8wypv6PAcz.jpg
Frankenweenie,Tim Burton,"Animation, Comedy, Family","When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",6.986,3351,2012-10-04,https://image.tmdb.org/t/p/original/jGoCEZQXX7GZsyT9Kg9L8pV4qQj.jpg
Going Places,Bertrand Blier,"Comedy, Drama","Two whimsical, aimless thugs harass and assault women, steal, murder, and alternately charm, fight, or sprint their way out of trouble. They take whatever the bourgeoisie holds dear, whether it’s cars, peace of mind, or daughters. Marie-Ange, a jaded, passive hairdresser, joins them as lover, cook, and mother confessor. She’s on her own search for seemingly unattainable sexual pleasure.",6.78,431,1974-03-20,https://image.tmdb.org/t/p/original/3jTmuoIQOP07l4d1RebMfM8qiY4.jpg
Scream 7,Kevin Williamson,"Horror, Mystery, Thriller",The seventh installment in the 'Scream' franchise. Plot TBA.,0.0,0,2026-02-25,https://image.tmdb.org/t/p/original/pwhb5fumMmHnfy3apG0Jss0320y.jpg
Milf,Scott Wheeler,Comedy,A group of nerdy college guys who can't seem to connect with girls their own age discover the excitement of hooking up with sexy older women.,4.5,88,2010-10-17,https://image.tmdb.org/t/p/original/7nBu9UITbsTuFVFGPilUkEGiCTU.jpg
Higop,Topel Lee,Romance,"Noah has been longing for his ex-girlfriend Ysa, who now works in a milk tea shop. As he pursues Ysa again, he learns that the real product they serve are the ladies.",5.1,8,2023-12-15,https://image.tmdb.org/t/p/original/n9IvDDXKboJ4ItAFruuviiH32Pd.jpg
Always Watching: A Marble Hornets Story,James Moran,Horror,"A small town news team discovers a box of videotapes wherein a faceless figure, dressed in a dark suit, haunts and torments a family...slowly driving them insane. Soon after, they realize that the 'Operator' has begun to stalk them as well.",5.1,139,2015-04-07,https://image.tmdb.org/t/p/original/ljr0RACN0GGSIaLfEkPWIndZ8Ui.jpg
My Sister's Keeper,Nick Cassavetes,Drama,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.",7.4,2083,2009-06-26,https://image.tmdb.org/t/p/original/bvLsfZfaqGiq46lEbtWj7WuQjZ9.jpg
