title,tags
Fight Club,drama david fincher insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much movi
The Lord of the Rings: The Fellowship of the Ring,action adventur drama peter jackson meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron movi
Forrest Gump,drama romanc robert zemecki presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq 75 whose desir reunit childhood sweetheart movi
"Il buono, il brutto, il cattivo",western sergio leon bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri movi
The Lord of the Rings: The Two Towers,action adventur drama peter jackson frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard movi
The Matrix,action scifi lana wachowski beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig movi
Goodfellas,biographi crime drama martin scorses stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic movi
Star Wars: Episode V - The Empire Strikes Back,action adventur fantasi irvin kershner rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi movi
One Flew Over the Cuckoo's Nest,drama milo forman crimin plead insan admit mental institut rebel oppress nurs ralli scare patient movi
Hamilton,biographi drama histori thoma kail real life one america foremost found father first secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast movi
Gisaengchung,comedi drama thriller bong joon ho greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan movi
Soorarai Pottru,drama sudha kongara nedumaaran rajangam maara set make common man fli process take world capit intens industri sever enemi stand way movi
Interstellar,adventur drama scifi christoph nolan team explor travel wormhol space attempt ensur human surviv movi
Cidade de Deus,crime drama fernando meirel slum rio two kid path diverg one struggl becom photograph kingpin movi
Sen to Chihiro no kamikakushi,anim adventur famili hayao miyazaki famili move suburb sullen 10yearold girl wander world rule god witch spirit human chang beast movi
Saving Private Ryan,drama war steven spielberg follow normandi land group us soldier go behind enemi line retriev paratroop whose brother kill action movi
The Green Mile,crime drama fantasi frank darabont live guard death row affect one charg black man accus child murder rape yet mysteri gift movi
La vita Ã¨ bella,comedi drama romanc roberto benigni openmind jewish librarian son becom victim holocaust use perfect mixtur humor imagin protect son danger around camp movi
Se7en,crime drama mysteri david fincher two detect rooki veteran hunt serial killer use seven deadli sin motiv movi
The Silence of the Lambs,crime drama thriller jonathan demm young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim movi
Star Wars,action adventur fantasi georg luca luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader movi
Seppuku,action drama mysteri masaki kobayashi ronin request seppuku feudal lord palac told brutal suicid anoth ronin previous visit reveal past intertwin challeng clan integr movi
Shichinin no samurai,action adventur drama akira kurosawa poor villag attack bandit recruit seven unemploy samurai help defend movi
It's a Wonderful Life,drama famili fantasi frank capra angel sent heaven help desper frustrat businessman show life would like never exist movi
Joker,crime drama thriller todd phillip gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker movi
Whiplash,drama music damien chazel promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti movi
The Intouchables,biographi comedi drama olivi nakach becom quadripleg paraglid accid aristocrat hire young man project caregiv movi
The Prestige,drama mysteri scifi christoph nolan tragic accid two stage magician engag battl creat ultim illus sacrif everyth outwit movi
The Departed,crime drama thriller martin scorses undercov cop mole polic attempt identifi infiltr irish gang south boston movi
The Pianist,biographi drama music roman polanski polish jewish musician struggl surviv destruct warsaw ghetto world war ii movi
Gladiator,action adventur drama ridley scott former roman gener set exact vengeanc corrupt emperor murder famili sent slaveri movi
American History X,drama toni kay former neonazi skinhead tri prevent younger brother go wrong path movi
The Usual Suspects,crime mysteri thriller bryan singer sole survivor tell twisti event lead horrif gun battl boat began five crimin met seemingli random polic lineup movi
LÃ©on,action crime drama luc besson mathilda 12yearold girl reluctantli taken lãon profession assassin famili murder unusu relationship form becom protãgã learn assassin trade movi
The Lion King,anim adventur drama roger aller lion princ simba father target bitter uncl want ascend throne movi
Terminator 2: Judgment Day,action scifi jame cameron cyborg ident one fail kill sarah connor must protect teenag son john connor advanc power cyborg movi
Nuovo Cinema Paradiso,drama romanc giusepp tornator filmmak recal childhood fall love pictur cinema home villag form deep friendship cinema projectionist movi
Hotaru no haka,anim drama war isao takahata young boy littl sister struggl surviv japan world war ii movi
Back to the Future,adventur comedi scifi robert zemecki marti mcfli 17yearold high school student accident sent thirti year past timetravel delorean invent close friend eccentr scientist doc brown movi
Once Upon a Time in the West,western sergio leon mysteri stranger harmonica join forc notori desperado protect beauti widow ruthless assassin work railroad movi
Psycho,horror mysteri thriller alfr hitchcock phoenix secretari embezzl 40000 employ client goe run check remot motel run young man domin mother movi
Casablanca,drama romanc war michael curtiz cynic expatri american cafe owner struggl decid whether help former lover fugit husband escap nazi french morocco movi
Modern Times,comedi drama famili charl chaplin tramp struggl live modern industri societi help young homeless woman movi
City Lights,comedi drama romanc charl chaplin aid wealthi errat tippler dewyey tramp fallen love sightless flower girl accumul money abl help medic movi
CapharnaÃ¼m,drama nadin labaki serv fiveyear sentenc violent crime 12yearold boy sue parent neglect movi
Ayla: The Daughter of War,biographi drama histori ulkay 1950 amidst ravag korean war sergeant sã¼leyman stumbl upon halffrozen littl girl parent help sight frantic scare verg death see full summaryâ â movi
Vikram Vedha,action crime drama gayatri vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict movi
Kimi no na wa.,anim drama fantasi makoto shinkai two stranger find link bizarr way connect form distanc thing keep apart movi
Dangal,action biographi drama nitesh tiwari former wrestler mahavir singh phogat two wrestler daughter struggl toward glori commonwealth game face societ oppress movi
Spider-Man: Into the Spider-Verse,anim action adventur bob persichetti teen mile moral becom spiderman univers must join five spiderpow individu dimens stop threat realiti movi
Avengers: Endgame,action adventur drama anthoni russo devast event aveng infin war 2018 univers ruin help remain alli aveng assembl order revers thano action restor balanc univers movi
Avengers: Infinity War,action adventur scifi anthoni russo aveng alli must will sacrific attempt defeat power thano blitz devast ruin put end univers movi
Coco,anim adventur famili lee unkrich aspir musician miguel confront famili ancestr ban music enter land dead find greatgreatgrandfath legendari singer movi
Django Unchained,drama western quentin tarantino help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner movi
The Dark Knight Rises,action adventur christoph nolan eight year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane movi
3 Idiots,comedi drama rajkumar hirani two friend search long lost companion revisit colleg day recal memori friend inspir think differ even rest world call idiot movi
Taare Zameen Par,drama famili aamir khan eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school movi
WALLÂ·E,anim adventur famili andrew stanton distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind movi
The Lives of Others,drama mysteri thriller florian henckel von donnersmarck 1984 east berlin agent secret polic conduct surveil writer lover find becom increasingli absorb live movi
Oldeuboi,action drama mysteri chanwook park kidnap imprison fifteen year oh daesu releas find must find captor five day movi
Memento,mysteri thriller christoph nolan man shortterm memori loss attempt track wife murder movi
Mononoke-hime,anim action adventur hayao miyazaki journey find cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest also meet san mononok hime movi
Once Upon a Time in America,crime drama sergio leon former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life movi
Raiders of the Lost Ark,action adventur steven spielberg 1936 archaeologist adventur indiana jone hire us govern find ark coven adolf hitler nazi obtain awesom power movi
The Shining,drama horror stanley kubrick famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur movi
Apocalypse Now,drama mysteri war franci ford coppola us armi offic serv vietnam task assassin renegad special forc colonel see god movi
Alien,horror scifi ridley scott space merchant vessel receiv unknown transmiss distress call one crew attack mysteri life form soon realiz life cycl mere begun movi
Anand,drama music hrishikesh mukherje stori termin ill man wish live life fullest inevit occur told best friend movi
Tengoku to jigoku,crime drama mysteri akira kurosawa execut shoe compani becom victim extort chauffeur son kidnap held ransom movi
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedi stanley kubrick insan gener trigger path nuclear holocaust war room full politician gener frantic tri stop movi
Witness for the Prosecution,crime drama mysteri billi wilder veteran british barrist must defend client murder trial surpris surpris movi
Paths of Glory,drama war stanley kubrick refus attack enemi posit gener accus soldier cowardic command offic must defend movi
Rear Window,mysteri thriller alfr hitchcock wheelchairbound photograph spi neighbor apart window becom convinc one commit murder movi
Sunset Blvd.,drama filmnoir billi wilder screenwrit develop danger relationship fade film star determin make triumphant return movi
The Great Dictator,comedi drama war charl chaplin dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim movi
1917,drama thriller war sam mend april 6th 1917 regiment assembl wage war deep enemi territori two soldier assign race time deliv messag stop 1600 men walk straight deadli trap movi
Tumbbad,drama fantasi horror rahi anil barv mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn movi
Andhadhun,crime drama music sriram raghavan seri mysteri event chang life blind pianist must report crime technic know noth movi
Drishyam,crime drama thriller jeethu joseph man goe extrem length save famili punish famili commit accident crime movi
Jagten,drama thoma vinterberg teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie movi
Jodaeiye Nader az Simin,drama asghar farhadi marri coupl face difficult decis improv life child move anoth countri stay iran look deterior parent alzheim diseas movi
Incendies,drama mysteri war deni villeneuv twin journey middl east discov famili histori fulfil mother last wish movi
Miracle in cell NO.7,drama mehmet ada ãztekin stori love mentallyil father wrongli accus murder love six year old daughter prison would home base 2013 korean movi 7beonbangui seonmul 2013 movi
Babam ve Oglum,drama famili ãagan irmak famili leftw journalist torn apart militari coup turkey 1980 movi
Inglourious Basterds,adventur drama war quentin tarantino nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan movi
Eternal Sunshine of the Spotless Mind,drama romanc scifi michel gondri relationship turn sour coupl undergo medic procedur eras memori movi
AmÃ©lie,comedi romanc jeanpierr jeunet amãli innoc naiv girl pari sens justic decid help around along way discov love movi
Snatch,comedi crime guy ritchi unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond movi
Requiem for a Dream,drama darren aronofski druginduc utopia four coney island peopl shatter addict run deep movi
American Beauty,drama sam mend sexual frustrat suburban father midlif crisi becom infatu daughter best friend movi
Good Will Hunting,drama romanc gu van sant hunt janitor mit gift mathemat need help psychologist find direct life movi
Bacheha-Ye aseman,drama famili sport majid majidi boy lose sister pair shoe goe seri adventur order find cant tri new way win new pair movi
Toy Story,anim adventur comedi john lasset cowboy doll profoundli threaten jealou new spaceman figur supplant top toy boy room movi
Braveheart,biographi drama histori mel gibson scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england movi
Reservoir Dogs,crime drama thriller quentin tarantino simpl jewelri heist goe horribl wrong surviv crimin begin suspect one polic inform movi
Full Metal Jacket,drama war stanley kubrick pragmat us marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue movi
Idi i smotri,drama thriller war elem klimov find old rifl young boy join soviet resist movement ruthless german forc experi horror world war ii movi
Aliens,action adventur scifi jame cameron fiftyseven year surviv apocalypt attack aboard space vessel merciless space creatur offic ripley awaken hypersleep tri warn anyon listen predat movi
Amadeus,biographi drama histori milo forman life success troubl wolfgang amadeu mozart told antonio salieri contemporan compos insan jealou mozart talent claim murder movi
Scarface,crime drama brian de palma 1980 miami determin cuban immigr take drug cartel succumb greed movi
Star Wars: Episode VI - Return of the Jedi,action adventur fantasi richard marquand dare mission rescu han solo jabba hutt rebel dispatch endor destroy second death star meanwhil luke struggl help darth vader back dark side without fall emperor trap movi
Das Boot,adventur drama thriller wolfgang petersen claustrophob world wwii german uboat boredom filth sheer terror movi
Taxi Driver,crime drama martin scorses mental unstabl veteran work nighttim taxi driver new york citi perceiv decad sleaz fuel urg violent action attempt liber presidenti campaign worker underag prostitut movi
The Sting,comedi crime drama georg roy hill two grifter team pull ultim con movi
A Clockwork Orange,crime drama scifi stanley kubrick futur sadist gang leader imprison volunt conductavers experi doesnt go plan movi
2001: A Space Odyssey,adventur scifi stanley kubrick discov mysteri artifact buri beneath lunar surfac mankind set quest find origin help intellig supercomput hal 9000 movi
Per qualche dollaro in piÃ¹,western sergio leon two bounti hunter intent team track western outlaw movi
Lawrence of Arabia,adventur biographi drama david lean stori te lawrenc english offic success unit led divers often war arab tribe world war order fight turk movi
The Apartment,comedi drama romanc billi wilder man tri rise compani let execut use apart tryst complic romanc ensu movi
North by Northwest,adventur mysteri thriller alfr hitchcock new york citi advertis execut goe run mistaken govern agent group foreign spi movi
Vertigo,mysteri romanc thriller alfr hitchcock former polic detect juggl wrestl person demon becom obsess hauntingli beauti woman movi
Singin' in the Rain,comedi music romanc stanley donen silent film product compani cast make difficult transit sound movi
Ikiru,drama akira kurosawa bureaucrat tri find mean life discov termin cancer movi
Ladri di biciclette,drama vittorio de sica postwar itali workingclass man bicycl stolen son set find movi
Double Indemnity,crime drama filmnoir billi wilder insur repres let talk seduct housewif murderinsur fraud scheme arous suspicion insur investig movi
Citizen Kane,drama mysteri orson well follow death publish tycoon charl foster kane report scrambl uncov mean final utter rosebud movi
M - Eine Stadt sucht einen MÃ¶rder,crime mysteri thriller fritz lang polic german citi unabl catch childmurder crimin join manhunt movi
Metropolis,drama scifi fritz lang futurist citi sharpli divid work class citi planner son citi mastermind fall love workingclass prophet predict come savior mediat differ movi
The Kid,comedi drama famili charl chaplin tramp care abandon child event put relationship jeopardi movi
Chhichhore,comedi drama nitesh tiwari tragic incid forc anirudh middleag man take trip memori lane reminisc colleg day along friend label loser movi
Uri: The Surgical Strike,action drama war aditya dhar indian armi special forc execut covert oper aveng kill fellow armi men base terrorist group movi
K.G.F: Chapter 1,action drama prashanth neel 1970 fierc rebel rise brutal oppress becom symbol hope legion downtrodden peopl movi
Green Book,biographi comedi drama peter farrelli workingclass italianamerican bouncer becom driver africanamerican classic pianist tour venu 1960 american south movi
"Three Billboards Outside Ebbing, Missouri",comedi crime drama martin mcdonagh mother person challeng local author solv daughter murder fail catch culprit movi
Talvar,crime drama mysteri meghna gulzar experienc investig confront sever conflict theori perpetr violent doubl homicid movi
Baahubali 2: The Conclusion,action drama ss rajamouli shiva son bahubali learn heritag begin look answer stori juxtapos past event unfold mahishmati kingdom movi
Klaus,anim adventur comedi sergio pablo simpl act kind alway spark anoth even frozen faraway place smeerensburg new postman jesper befriend toymak klau gift melt ageold feud deliv sleigh full holiday tradit movi
Drishyam,crime drama mysteri nishik kamat desper measur taken man tri save famili dark side law commit unexpect crime movi
Queen,adventur comedi drama vika bahl delhi girl tradit famili set solo honeymoon marriag get cancel movi
Mandariinid,drama war zaza urushadz 1992 war rage abkhazia breakaway region georgia estonian man ivo decid stay behind harvest crop tangerin bloodi conflict door wound man left behind ivo take movi
Bhaag Milkha Bhaag,biographi drama sport rakeysh omprakash mehra truth behind ascens milkha singh scar indiapakistan partit movi
Gangs of Wasseypur,action comedi crime anurag kashyap clash sultan shahid khan lead expuls khan wasseypur ignit deadli blood feud span three gener movi
Udaan,drama vikramaditya motwan expel school 16year old boy return home abus oppress father movi
Paan Singh Tomar,action biographi crime tigmanshu dhulia stori paan singh tomar indian athlet seventim nation steeplechas champion becom one fear dacoit chambal valley retir movi
El secreto de sus ojos,drama mysteri romanc juan josã campanella retir legal counselor write novel hope find closur one past unresolv homicid case unreciproc love superior still haunt decad later movi
Warrior,action drama sport gavin oconnor youngest son alcohol former boxer return home he train father competit mix martial art tournament path put fighter collis cours estrang older brother movi
Shutter Island,mysteri thriller martin scorses 1954 us marshal investig disappear murder escap hospit crimin insan movi
Up,anim adventur comedi pete docter 78yearold carl fredricksen travel paradis fall hous equip balloon inadvert take young stowaway movi
The Wolf of Wall Street,biographi crime drama martin scorses base true stori jordan belfort rise wealthi stockbrok live high life fall involv crime corrupt feder govern movi
Chak De! India,drama famili sport shimit amin kabir khan coach indian women nation hockey team dream make girl team emerg victori odd movi
There Will Be Blood,drama paul thoma anderson stori famili religion hatr oil mad focus turnofthecenturi prospector earli day busi movi
Pan's Labyrinth,drama fantasi war guillermo del toro falangist spain 1944 bookish young stepdaught sadist armi offic escap eeri captiv fantasi world movi
Toy Story 3,anim adventur comedi lee unkrich toy mistakenli deliv daycar center instead attic right andi leav colleg woodi convinc toy werent abandon return home movi
V for Vendetta,action drama scifi jame mcteigu futur british tyranni shadowi freedom fighter known alia v plot overthrow help young woman movi
Rang De Basanti,comedi crime drama rakeysh omprakash mehra stori six young indian assist english woman film documentari freedom fighter past event lead reliv longforgotten saga freedom movi
Black,drama sanjay leela bhansali cathart tale young woman cant see hear talk teacher bring ray light dark world movi
Batman Begins,action adventur christoph nolan train mentor batman begin fight free crimeridden gotham citi corrupt movi
"Swades: We, the People",drama ashutosh gowarik success indian scientist return indian villag take nanni america process rediscov root movi
Der Untergang,biographi drama histori oliv hirschbiegel traudl jung final secretari adolf hitler tell nazi dictat final day berlin bunker end wwii movi
Hauru no ugoku shiro,anim adventur famili hayao miyazaki unconfid young woman curs old bodi spite witch chanc break spell lie selfindulg yet insecur young wizard companion leg walk castl movi
A Beautiful Mind,biographi drama ron howard john nash brilliant asoci mathematician accept secret work cryptographi life take turn nightmarish movi
Hera Pheri,action comedi crime priyadarshan three unemploy men look answer money problem opportun arriv know movi
"Lock, Stock and Two Smoking Barrels",action comedi crime guy ritchi botch card game london trigger four friend thug weedgrow hard gangster loan shark debt collector collid seri unexpect event sake weed cash two antiqu shotgun movi
L.A. Confidential,crime drama mysteri curti hanson corrupt grow 1950 lo angel three policemen one straitlac one brutal one sleazi investig seri murder brand justic movi
Eskiya,crime drama thriller yavuz turgul baran bandit releas prison 35 year search vengeanc lover movi
Heat,crime drama thriller michael mann group profession bank robber start feel heat polic unknowingli leav clue latest heist movi
Casino,crime drama martin scorses tale greed decept money power murder occur two best friend mafia enforc casino execut compet gambl empir fastliv fastlov socialit movi
Andaz Apna Apna,action comedi romanc rajkumar santoshi two slacker compet affect heiress inadvert becom protector evil crimin movi
Unforgiven,drama western clint eastwood retir old west gunsling william munni reluctantli take one last job help old partner ned logan young man schofield kid movi
Indiana Jones and the Last Crusade,action adventur steven spielberg 1938 father professor henri jone sr goe miss pursu holi grail professor henri indiana jone jr find adolf hitler nazi stop obtain power movi
Dom za vesanje,comedi crime drama emir kusturica lumin tale set area around sarajevo itali perhan engag young romani gypsi telekinet power seduc quickcash world petti crime threaten destroy love movi
Tonari no Totoro,anim famili fantasi hayao miyazaki two girl move countri near ail mother adventur wondrou forest spirit live nearbi movi
Die Hard,action thriller john mctiernan nypd offic tri save wife sever other taken hostag german terrorist christma parti nakatomi plaza lo angel movi
Ran,action drama war akira kurosawa mediev japan elderli warlord retir hand empir three son howev vastli underestim newfound power corrupt caus turn otherand movi
Raging Bull,biographi drama sport martin scorses life boxer jake lamotta whose violenc temper led top ring destroy life outsid movi
Stalker,drama scifi andrei tarkovski guid lead two men area known zone find room grant wish movi
HÃ¶stsonaten,drama music ingmar bergman marri daughter long mother love visit latter success concert pianist movi
The Message,biographi drama histori moustapha akkad epic histor drama chronicl life time prophet muhammad serv introduct earli islam histori movi
Sholay,action adventur comedi ramesh sippi famili murder notori ruthless bandit former polic offic enlist servic two outlaw captur bandit movi
Monty Python and the Holy Grail,adventur comedi fantasi terri gilliam king arthur knight round tabl embark surreal lowbudget search holi grail encount mani silli obstacl movi
The Great Escape,adventur drama histori john sturg alli prison war plan sever hundr number escap german camp world war ii movi
To Kill a Mockingbird,crime drama robert mulligan atticu finch lawyer depressionera south defend black man undeserv rape charg children prejudic movi
YÃ´jinbÃ´,action drama thriller akira kurosawa crafti ronin come town divid two crimin gang decid play free town movi
Judgment at Nuremberg,drama war stanley kramer 1948 american court occupi germani tri four nazi judg war crime movi
Some Like It Hot,comedi music romanc billi wilder two male musician wit mob hit flee state allfemal band disguis women complic set movi
SmultronstÃ¤llet,drama romanc ingmar bergman live life mark cold age professor forc confront empti exist movi
Det sjunde inseglet,drama fantasi histori ingmar bergman man seek answer life death exist god play chess grim reaper black plagu movi
Du rififi chez les hommes,crime drama thriller jule dassin four men plan technic perfect crime human element interven movi
Dial M for Murder,crime thriller alfr hitchcock former tenni player tri arrang wife murder learn affair movi
TÃ´kyÃ´ monogatari,drama yasujirã ozu old coupl visit children grandchildren citi receiv littl attent movi
RashÃ´mon,crime drama mysteri akira kurosawa rape bride murder samurai husband recal perspect bandit bride samurai ghost woodcutt movi
All About Eve,drama joseph l mankiewicz seemingli timid secretli ruthless ingãnu insinu live age broadway star circl theater friend movi
The Treasure of the Sierra Madre,adventur drama western john huston two american search work mexico convinc old prospector help mine gold sierra madr mountain movi
To Be or Not to Be,comedi war ernst lubitsch nazi occup poland act troup becom embroil polish soldier effort track german spi movi
The Gold Rush,adventur comedi drama charl chaplin prospector goe klondik search gold find movi
Sherlock Jr.,action comedi romanc buster keaton film projectionist long detect put meagr skill work frame rival steal girlfriend father pocketwatch movi
Portrait de la jeune fille en feu,drama romanc cãline sciamma isol island brittani end eighteenth centuri femal painter oblig paint wed portrait young woman movi
Pink,drama thriller aniruddha roy chowdhuri three young women implic crime retir lawyer step forward help clear name movi
Koe no katachi,anim drama famili naoko yamada young man ostrac classmat bulli deaf girl point move away year later set path redempt movi
Contratiempo,crime drama mysteri oriol paulo success entrepreneur accus murder wit prepar expert less three hour come impregn defens movi
Ah-ga-ssi,drama romanc thriller chanwook park woman hire handmaiden japanes heiress secretli involv plot defraud movi
Mommy,drama xavier dolan widow singl mother rais violent son alon find new hope mysteri neighbor insert household movi
Haider,action crime drama vishal bhardwaj young man return kashmir father disappear confront uncl suspect play role father fate movi
Logan,action drama scifi jame mangold futur mutant nearli extinct elderli weari logan lead quiet life laura mutant child pursu scientist come help must get safeti movi
Room,drama thriller lenni abrahamson held captiv 7 year enclos space woman young son final gain freedom allow boy experi outsid world first time movi
Relatos salvajes,comedi drama thriller damiãn szifron six short stori explor extrem human behavior involv peopl distress movi
Soul,anim adventur comedi pete docter land gig lifetim new york jazz pianist suddenli find trap strang land earth afterlif movi
Kis Uykusu,drama nuri bilg ceylan hotel owner landlord remot turkish villag deal conflict within famili tenant behind rent movi
PK,comedi drama music rajkumar hirani alien earth lose devic use commun spaceship innoc natur childlik question forc countri evalu impact religion peopl movi
OMG: Oh My God!,comedi drama fantasi umesh shukla shopkeep take god court shop destroy earthquak movi
The Grand Budapest Hotel,adventur comedi crime we anderson writer encount owner age highclass hotel tell earli year serv lobbi boy hotel gloriou year except concierg movi
Gone Girl,drama mysteri thriller david fincher wife disappear becom focu intens media circu man see spotlight turn suspect may innoc movi
Ã”kami kodomo no Ame to Yuki,anim drama fantasi mamoru hosoda werewolf lover unexpectedli die accid hunt food children young woman must find way rais werewolf son daughter keep trait hidden societi movi
Hacksaw Ridge,biographi drama histori mel gibson world war ii american armi medic desmond doss serv battl okinawa refus kill peopl becom first man american histori receiv medal honor without fire shot movi
Inside Out,anim adventur comedi pete docter young riley uproot midwest life move san francisco emot joy fear anger disgust sad conflict best navig new citi hous school movi
Barfi!,comedi drama romanc anurag basu three young peopl learn love neither defin contain societi definit normal abnorm movi
12 Years a Slave,biographi drama histori steve mcqueen antebellum unit state solomon northup free black man upstat new york abduct sold slaveri movi
Rush,action biographi drama ron howard merciless 1970 rivalri formula one rival jame hunt niki lauda movi
Ford v Ferrari,action biographi drama jame mangold american car design carrol shelbi driver ken mile battl corpor interfer law physic build revolutionari race car ford order defeat ferrari 24 hour le man 1966 movi
Spotlight,biographi crime drama tom mccarthi true stori boston globe uncov massiv scandal child molest coverup within local cathol archdioces shake entir cathol church core movi
Song of the Sea,anim adventur drama tomm moor ben young irish boy littl sister saoirs girl turn seal go adventur free fairi save spirit world movi
Kahaani,mysteri thriller sujoy ghosh pregnant woman search miss husband take london kolkata everyon question deni ever met movi
Zindagi Na Milegi Dobara,comedi drama zoya akhtar three friend decid turn fantasi vacat realiti one friend get engag movi
Prisoners,crime drama mysteri deni villeneuv keller dover daughter friend go miss take matter hand polic pursu multipl lead pressur mount movi
Mad Max: Fury Road,action adventur scifi georg miller postapocalypt wasteland woman rebel tyrann ruler search homeland aid group femal prison psychot worship drifter name max movi
A Wednesday,action crime drama neeraj pandey retir polic offic reminisc astound day career case never file continu haunt memori case man wednesday movi
Gran Torino,drama clint eastwood disgruntl korean war veteran walt kowalski set reform neighbor thao lor hmong teenag tri steal kowalski prize possess 1972 gran torino movi
Harry Potter and the Deathly Hallows: Part 2,adventur drama fantasi david yate harri ron hermion search voldemort remain horcrux effort destroy dark lord final battl rage hogwart movi
Okuribito,drama music yãjirã takita newli unemploy cellist take job prepar dead funer movi
Hachi: A Dog's Tale,biographi drama famili lass hallstrãm colleg professor bond abandon dog take home movi
Mary and Max,anim comedi drama adam elliot tale friendship two unlik pen pal mari lone eightyearold girl live suburb melbourn max fortyfouryear old sever obes man live new york movi
How to Train Your Dragon,anim action adventur dean debloi hapless young vike aspir hunt dragon becom unlik friend young dragon learn may creatur assum movi
Into the Wild,adventur biographi drama sean penn graduat emori univers top student athlet christoph mccandless abandon possess give entir 24000 save account chariti hitchhik alaska live wilder along way christoph encount seri charact shape life movi
No Country for Old Men,crime drama thriller ethan coen violenc mayhem ensu hunter stumbl upon drug deal gone wrong two million dollar cash near rio grand movi
Lage Raho Munna Bhai,comedi drama romanc rajkumar hirani munna bhai embark journey mahatma gandhi order fight corrupt properti dealer movi
Million Dollar Baby,drama sport clint eastwood determin woman work harden box trainer becom profession movi
Hotel Rwanda,biographi drama histori terri georg paul rusesabagina hotel manag hous thousand tutsi refuge struggl hutu militia rwanda africa movi
Taegukgi hwinalrimyeo,action drama war jekyu kang two brother forc fight korean war elder decid take riskiest mission help shield younger battl movi
Before Sunset,drama romanc richard linklat nine year jess celin first met encount french leg jess book tour movi
Munna Bhai M.B.B.S.,comedi drama music rajkumar hirani gangster set fulfil father dream becom doctor movi
Salinui chueok,crime drama mysteri bong joon ho small korean provinc 1986 two detect struggl case multipl young women found rape murder unknown culprit movi
Dil Chahta Hai,comedi drama romanc farhan akhtar three insepar childhood friend colleg noth come fall love wildli differ approach relationship creat tension movi
Kill Bill: Vol. 1,action crime drama quentin tarantino awaken fouryear coma former assassin wreak vengeanc team assassin betray movi
Finding Nemo,anim adventur comedi andrew stanton son captur great barrier reef taken sydney timid clownfish set journey bring home movi
Catch Me If You Can,biographi crime drama steven spielberg bare 21 yet frank skill forger pass doctor lawyer pilot fbi agent carl becom obsess track con man revel pursuit movi
Amores perros,drama thriller alejandro g iããrritu horrif car accid connect three stori involv charact deal loss regret life harsh realiti name love movi
"Monsters, Inc.",anim adventur comedi pete docter order power citi monster scare children scream howev children toxic monster child get 2 monster realiz thing may think movi
"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni",anim action drama hideaki anno concurr theatric end tv seri shin seiki evangerion 1995 movi
Lagaan: Once Upon a Time in India,adventur drama music ashutosh gowarik peopl small villag victorian india stake futur game cricket ruthless british ruler movi
The Sixth Sense,drama mysteri thriller night shyamalan boy commun spirit seek help dishearten child psychologist movi
La leggenda del pianista sull'oceano,drama music romanc giusepp tornator babi boy discov 1900 ocean liner grow music prodigi never set foot land movi
The Truman Show,comedi drama peter weir insur salesman discov whole life actual realiti tv show movi
"Crna macka, beli macor",comedi crime romanc emir kusturica matko son zare live bank danub river get hustl basic anyth make live order pay busi debt matko agre marri zare sister local gangster movi
The Big Lebowski,comedi crime sport joel coen jeff dude lebowski mistaken millionair name seek restitut ruin rug enlist bowl buddi help get movi
