Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Big Nate - Great Minds Think Alike,David walliams,"Human behavior, Humorous stories, Middle schools, School stories, Juvenile fiction, Graphic novels, Middle school students, School children, Fiction, Boys, Humorous graphic novels, JUVENILE FICTION / Comics & Graphic Novels / General, Schools, Comic books, strips, Big Nate (Fictitious character), Study skills, Behavior, Children's fiction, Adventure and adventurers, fiction, Schools, fiction, Cartoons and comics, Boys, fiction","Two heads are better than one, except when they're crashing into each other! But that won't prevent Big Nate and his pals from hatching great ideas for fun. Nate Wright is a wisecracking 11-year-old who knows he's destined for greatness. Nate is the star of Big Nate, the comic strip that made its debut in 1991. Nate is a sixth-grade chess prodigy, a self-described genius, and the all-time record holder for detentions in school history. He's often in hot water with his teachers and classmates, but Nate's winning personality and can-do attitude always make him a big hit with readers.",4.6,24,2014,http://covers.openlibrary.org/b/id/9378871-L.jpg
L'amore va in scena a Topford!,Elisabetta Dami,"Mice, Journalists, Adaptation, Schools, Juvenile fiction, Children's plays, Fiction, Child and youth fiction, Adventure stories, French language materials, Souris, Romans, nouvelles, etc. pour la jeunesse, Jalousie, Amitié, Théâtre","Welcome to the world of the Thea Sisters! To celebrate Mouse Academy's 600th anniversary, the headmaster and teachers decide to stage a performance of William Squeakspeare's favorite play Mouseo & Juliet! The Thea Sisters all want the part of Juliet, but so does their rival, Ruby Flashyfur. Who will be the star of the show?",3.4,44,2009,http://covers.openlibrary.org/b/id/7272498-L.jpg
I segreti dell'Olimpo,Elisabetta Dami,"Fiction, Juvenile literature, Action Adventure, Actors, Actresses, Friendship, Mice, Mystery and detective stories, Sisters, Theater, Missing persons, Souris, Romans, nouvelles, etc. pour la jeunesse, Sœurs, Théâtre, Acteurs, Personnes disparues, Thea Stilton series, Children's fiction, Mice, fiction, Sisters, fiction, Theater, fiction, Actors, fiction, Missing persons, fiction, Greece, fiction","While on vacation in Greece, the Thea Sisters make friends with a company of actors who are rehearsing for a play that's about to open. When an actress sprains her ankle, Colette ends up standing in for her! But suddenly, right before the performance, the lead actor goes missing. Can the mouselets find him in time for the show to go on?

While in Greece, the Thea Sisters make friends with a company of actors. Before the performance, the lead actor goes missing, and the mouselets must try to find him so the show can go on. Book #20",3.8,141,2005,http://covers.openlibrary.org/b/id/9321044-L.jpg
Snakehead,Anthony Horowitz,"Young Adult Fiction, Adventure and adventurers, Juvenile fiction, Alex Rider (Fictitious character), Comic and Graphic Books, Fiction, Thriller, Adventure stories, Spies, Orphans, Spy stories, Adventure fiction, Children's fiction, Rider, alex (fictitious character), fiction, Spies, fiction, Orphans, fiction, Adventure and adventurers, fiction, Terrorism, Child and youth fiction","What goes up must come down, and when we last saw Alex Rider, he was as up as can be—in outer space. When he crash lands off the coast of Australia, the Australian Secret Service recruits him to infiltrate one of the ruthless gangs operating across South East Asia. Known as snakeheads, the gangs smuggle drugs, weapons, and worst of all, people. Alex accepts the assignment, in part for the chance to work with his godfather and learn more about his parents. What he uncovers, however, is a secret that will make this his darkest and most dangerous mission yet . . . and that his old nemesis, Scorpia, is anything but out of his life.From the slums of Bangkok to the Australian Outback to the middle of the Timor Sea, Snakehead is Alex Rider's most action-packed adventure yet.",2.9,16,2007,http://covers.openlibrary.org/b/id/1199539-L.jpg
The Famous Five,Enid Blyton,"Fiction, Adventure and adventurers, England in fiction, Adventure and adventurers in fiction, Children's stories, English, Children's fiction, Adventure and adventurers, fiction","mystery adventure and a lot to solve the five never tire out finding the solutions to their problems. Julian , Dick , Anne, George and their loyal dog Timmy are on their hols to watch out!",4.7,5,1981,http://covers.openlibrary.org/b/id/2400837-L.jpg
"I Survived The Nazi Invasion, 1944","Lauren Tarshis, Georgia Ball, Álvaro Sarraseca","September 11 Terrorist Attacks (2001) fast (OCoLC)fst01112794, Survival Stories, Adventure and adventurers, Fiction, United States, Football for children, Adventure fiction, Historical, Terrorism, People & Places, September 11 Terrorist Attacks, 2001, Action & Adventure, JUVENILE FICTION, 21st Century, Survival, Historical fiction, World War, 1939-1945, Jews, Jewish resistance, Brothers and sisters, Jewish children, Holocaust, 1939-1945, Underground movements, Holocaust, Jewish (1939-1945), Nazis, History, Children's fiction, World war, 1939-1945, fiction, Poland, fiction, Holocaust, jewish (1939-1945), fiction, Jews, fiction, Survival, fiction, nyt:series-books=2014-03-16, New York Times bestseller","I love this book. It's about 10-year old max and his little sister who go through WW||. So, WW|| in a kid's point of view :D",3.5,4,2014,http://covers.openlibrary.org/b/id/7393357-L.jpg
The Recruit (CHERUB #1),Robert Muchamore,"Great Britain. MI5, Juvenile fiction, Teenagers, Fiction, Intelligence service, Great Britain, Spies, Children's fiction, Spies, fiction, Terrorism, fiction, Adventure stories, Terrorists, Spy stories, Adventure and adventurers, Orphans","a fast paced action filled story where kids are recruited to become secret agents called cherub agents
James Adams has been recruited after his mum die's and is ready to take on what ever training has install for him
warning not suitable for younger readers",3.8,11,2001,http://covers.openlibrary.org/b/id/206536-L.jpg
Geronimo Stilton,Elisabetta Dami,"Haunted houses, Juvenile fiction, Children's fiction, Stilton, geronimo (fictitious character), fiction, Adventure and adventurers, fiction, Cartoons and comics, Mice, fiction",outstading,4.2,57,2005,http://covers.openlibrary.org/b/id/747555-L.jpg
The gap in the curtain,John Buchan,"Fiction, thrillers, Fiction, historical, Fiction, thrillers, general, Fiction, historical, general, Fiction, romance, paranormal, supernatural, future, foreknowledge, drama, social comedy, Fiction, action & adventure, Fiction, suspense","The Gap in the Curtain tells the story of five country-house guests who are trained by the ailing Professor Moe, an Einsteinian mathematician who has devised a way of seeing into the future. These five guests gain one piece of knowledge from the experiment, and have to decide how to act on it. The episodes vary from high drama to social comedy, and use Buchan’s skill in writing political intrigue and adventure abroad. This is a novel that showcases Buchan’s talents as a storyteller, with an remarkable variety of settings, characters and strange situations. Are these incidents down to suggestive psychologies, or has something weird happened?

His 1932 novel The Gap in the Curtain was his last full-length work devoted to exploring a supernatural theme: if you were able to see one year into the future, what would you do with that foreknowledge? And what would it do to you?",3.4,6,1900,http://covers.openlibrary.org/b/id/922234-L.jpg
No Plan B,"Lee Child, Andrew Child","Fiction, Crime, nyt:hardcover-fiction=2022-11-13, New York Times bestseller, Fiction, action & adventure, Fiction, thrillers, military, Fiction, thrillers, suspense, Reacher, jack (fictitious character), fiction","The gripping new Jack Reacher thriller from the No.1 bestselling authors Lee Child and Andrew Child.


Gerrardsville, Colorado. One tragic event. Two witnesses. Two conflicting accounts.


One witness sees a woman throw herself in front of a bus - clearly suicide. The other witness is Jack Reacher. And he sees what really happened - a man in grey hoodie and jeans, swift and silent as a shadow, pushed the victim to her death, before grabbing her bag and sauntering away.


Reacher follows the killer on foot, not knowing that this was no random act of violence. It is part of something much bigger...a sinister, secret conspiracy, with powerful people on the take, enmeshed in an elaborate plot that leaves no room for error. If any step is compromised, the threat will have to be quickly and permanently removed.


But when the threat is Reacher, there is No Plan B....",3.5,15,2022,http://covers.openlibrary.org/b/id/12866677-L.jpg
True to the Game II,Teri Woods,"Fiction, Drug dealers, African Americans, Thriller, Revenge, Fiction, african american & black, general, Philadelphia (pa.), fiction, Criminals, fiction, African americans, fiction, Fiction, urban & street lit, Fiction, action & adventure","TRUE TO THE GAME II will pick up where True to the Game left off-- with one difference, Gena is now seeing a new guy named Jay.  Little does Gena know that the man she has fallen in love with, so soon after Quadir's death, is his archrival, Jerrell Jackson.  Unfortunately, Jerrell is determined to get his revenge against Quadir's crew and he'll start with Gena.",3.8,71,2007,http://covers.openlibrary.org/b/id/1235202-L.jpg
The bungalow mystery,Mildred Augustine Wirt Benson,"Adventure and adventurers, Detective and mystery stories, Fiction, Juvenile fiction, Mystery, Mystery and detective stories, Nancy Drew (Fictitious character), OverDrive, Women detectives, Drew, nancy (fictitious character), fiction, Children's fiction, Animals, juvenile literature, Rabbits, Adventure stories","Nancy believes her friend's guardians are trying to steal her inheritance. As she investigates, she has a perilous experience near the deserted bungalow.",4.3,49,1930,http://covers.openlibrary.org/b/id/779415-L.jpg
The Prisoner of Zenda,"Anthony Hope, Gary Hoppenstand, Diane Mowat, Alan Marks, Francesc Ràfols, Andrew Pugsley, Summer M. Hogan, Summer Hogan, Smidgen Press, Charles Dana Gibson, Daniel Lanza Barba, Javier Fornell Fernandez, Stephen Colbourn, Katy Jackson, James Wilby, Robinson, M., Paula Benitez","Fiction, Adventure, Fiction, action & adventure, Ruritania (imaginary place), fiction, British and irish fiction (fictional works by one author), Children's fiction, Adventure and adventurers, fiction, British, Impostors and imposture, English Adventure stories, Classic Literature, Foreign countries, Thriller, Literature, Upper class, Attempted murder, Treason, Travel, Adventure stories, Great britain, fiction, Europe, fiction, ELT graded readers, English language readers, Children's All Ages - Fiction - Adventure, Revenge in fiction, English literature, Readers, Fiction, general, Kings and rulers, Political kidnapping, Classics, Impostors and imposture -- Fiction, British -- Foreign countries -- Fiction, Fiction, historical, general, Collectors and collecting, Impersonation, Large type books, Prisoners, Anglais (Langue), Lectures et morceaux choisis, Prisonniers, Romans, nouvelles, English language, textbooks for foreign speakers, Crime, fiction, Kings, queens, rulers, etc., fiction, English language, Readers (Adult), Study and teaching, Foreign speakers, Étude et enseignement, Allophones","An adventure novel, originally published in 1894, set in the fictitious European Kingdom of Ruritania. An English tourist is persuaded to impersonate the new king after he is abducted before he can be crowned. This act draws upon him the wrath of the Prince who has had the king abducted and his partner in crime the villainous Rupert of Hentzau.",3.1,79,1800,http://covers.openlibrary.org/b/id/105814-L.jpg
Grosso guaio a New York,Elisabetta Dami,"Fiction, Juvenile literature, Action Adventure, mystery, Arson, Mice, Restaurant, Pizzaria, Brothers, Sisters, Friendship, Thea Stilton series","Geronimo's adventurous sister Thea narrates this fabulous adventure that's packed with action, mystery, and friendship!

The Thea Sisters are off to New York City for another fabumouse adventure! Nicky has been training to run the Big Apple Marathon, and her friends are there to support her. While in the city, they all visit Pamela's family and have a delicious dinner at the family's pizzeria. But the mouselings discover that someone has been threatening to burn the restaurant down, and Pam's family might have to close it for good to stay safe! Will the Thea Sisters catch the troublemaker before it's too late?",4.2,9,2007,http://covers.openlibrary.org/b/id/7699788-L.jpg
Shui hu zhuan,"Nai'an Shi, Shui Huchuan, Pearl S. Buck, Miguel Covarrubias, Luo Guanzhong, Sidney Shapiro, Wen Yu, Li ming you, Zhengqun Bao, Jacques Dars","Fiction, Fiction, historical, general, Fiction, action & adventure, China, fiction, Brigands and robbers, Chinese fiction, Comic books, strips, Graphic novels, History, Outlaws, Heroes, Heroes -- Fiction, Brigands and robbers -- Fiction, Outlaws -- China -- Fiction, China -- History -- Song dynasty, 960-1279 -- Fiction, Ming dynasty, Zhang hui xiao shuo, Suo xie, Gu dian xiao shuo, Chang pian xiao shuo, Social life and customs, Song Dynasty (China), Robbers and outlaws, Manners and customs, Social conditions, Juvenile fiction, Shui hu zhuan, Ming dai, Shui hu chuan, Wen xue xin shang, Han yu pin yin, Er tong du wu","Tells the story of 108 legendary heroes at the end of the Song Dynasty, who fought for justice for the poor.",3.8,18,1560,http://covers.openlibrary.org/b/id/786010-L.jpg
Big Nate on a Roll,David walliams,"Humorous stories, Scouting (Youth activity), Middle schools, Fiction, Schools, Contests, JUVENILE FICTION / Social Themes / Friendship, JUVENILE FICTION / Humorous Stories, Juvenile fiction, Comic books, strips, Scouts and scouting, JUVENILE FICTION / Comics & Graphic Novels, Middle school students, Cartoons and comics, Children's fiction, Contests, fiction, Schools, fiction, Big Nate (Fictitious character), Adventure and adventurers, fiction, School, Juvenile literature","It's about Nate and his scouting troop. But when Arthur enters the picture, Nate is horrified. To make things worse, the troop has a fundraiser. Nate doesn't like what there are selling, but when he sees the grand prize,a skateboard with free customization, He does all that he can. But Arthur is winning. Will Nate get the grand prize or will he lose again by Arthur?",2.3,54,2011,http://covers.openlibrary.org/b/id/6906705-L.jpg
Diary of an 8-Bit Warrior,Cube Kid,"Fiction, Childrens, Middle Grade, Fantassy, Children's fiction, Adventure and adventurers, fiction","Minecraft meets *Diary of a Wimpy Kid* in book 5 of the very popular 8-Bit Warrior series of the journal of a young Minecraft villager who dares to dream of becoming a Minecraft warrior!
THESE ARE THE REAL BOOKS BY CUBE KID! *DIARY OF AN 8-BIT WARRIOR: QUEST MODE* WAS ORIGINALLY PUBLISHED AS *WIMPY VILLAGER* KINDLES 13 & 14.

In the fifth in this series of five unofficial Minecraft adventure books, everyone's favorite 12-year-old villager-turned-warrior is back this time to use his warrior training on a new quest.

There’s no time to enjoy his newfound stardom.To save Villagetown, Runt embarks on a perilous quest far beyond the safety of the wall. Between bizarre towns, terrifying dungeons, and epic boss battles, Runt must summon the hero within and say “so long” to the noob!

----------
**Books in this series**

Book 1: [Diary of an 8-Bit Warrior][1]
Book 2: [Diary of an 8-Bit Warrior: From Seeds to Swords][2]
Book 3: [Diary of an 8-Bit Warrior: Crafting Alliances][3]
Book 4: [Diary of an 8-Bit Warrior: Path of the Diamond][4]
Book 5: Diary of an 8-Bit Warrior: Quest Mode
Book 6: [Diary of an 8-Bit Warrior: Forging Destiny][6]",3.7,11,2018,http://covers.openlibrary.org/b/id/10580801-L.jpg
Sharpe's Tiger,"Bernard Cornwell, Frederick Davidson","Richard Sharpe (Fictitious character), India Mysore War, 1799, Military History, Mysore War (India : 1799) fast (OCoLC)fst01353857, Fiction, Sieges, Historical Fiction, History, Soldiers, Fiction and related items / Adventure / War and combat fiction / Napoleonic War fiction, FICTION, Historical, Fiction and related items / Adventure / Historical adventure, Alternative History, War & Military, Sagas, Sharpe, richard (fictitious character), fiction, India, fiction, Fiction, war & military, Fiction, historical, Fiction, historical, general, India, Mysore War (India : 1799), Sharpe, Richard (Fictitious character)","In a battery of events that will make a hero out of an illiterate private, a young Richard Sharpe poses as the enemy to bring down a ruthless Indian dictator backed by fearsome French troops.The year is 1799, and Richard Sharpe is just beginning his military career. An inexperienced young private in His Majesty's service, Sharpe becomes part of an expedition to India to push the ruthless Tippoo of Mysore from his throne and drive out his French allies. To penetrate the Tippoo's city and make contact with a Scottish spy being held prisoner there, Sharpe has to pose as a deserter. Success will make him a sergeant, but failure will turn him over to the Tippoo's brutal executioners — or, worse — his man-eating tigers. Picking his way through an exotic and alien world. Sharpe realizes that one slip will mean disaster. And when the furious British assault on the city finally begins, Sharpe must take up arms against his true comrades to preserve his false identity, risking death at their hands in order to avoid detection and thus to foil the Tippoo's well-set trap.",3.8,23,1997,http://covers.openlibrary.org/b/id/1074-L.jpg
The Wrath & the Dawn,Renée Ahdieh,"Fairy tales, Murder, Love, Juvenile fiction, Love stories, Fiction, Children's fiction, Love, fiction, Murder, fiction, Romance fiction, YOUNG ADULT FICTION, Action & Adventure, Historical, Ancient Civilizations, Romance, Homicide","A sumptuous and epically told love story inspired by A Thousand and One Nights

Every dawn brings horror to a different family in a land ruled by a killer. Khalid, the eighteen-year-old Caliph of Khorasan, takes a new bride each night only to have her executed at sunrise. So it is a suspicious surprise when sixteen-year-old Shahrzad volunteers to marry Khalid. But she does so with a clever plan to stay alive and exact revenge on the Caliph for the murder of her best friend and countless other girls. Shazi’s wit and will, indeed, get her through to the dawn that no others have seen, but with a catch . . . she’s falling in love with the very boy who killed her dearest friend.

She discovers that the murderous boy-king is not all that he seems and neither are the deaths of so many girls. Shazi is determined to uncover the reason for the murders and to break the cycle once and for all.",3.1,33,1700,http://covers.openlibrary.org/b/id/7895180-L.jpg
Dork Diaries,Rachel Renée Russell,"Children's fiction, Friendship, fiction, Dork Diaries, Rachel Renée Russell, Middle grade fiction, Humor, Diary, fiction, Birthday, Party, Disasters, Friendship, Family, Misadventures, Coming of age, Humorous fiction, Adventure fiction, Realistic fiction","It’s Nikki Maxwell’s birthday!! Will it be a blast or a bust? Find out in Nikki’s newest diary, the thirteenth installment in the #1 New York Times blockbuster bestselling Dork Diaries series!

Nikki and her BFFs Chloe and Zoey have been planning a birthday party of epic proportions! There’s just one problem—Nikki’s mom says no way to the budget they need to make it happen. Nikki’s ready to call the whole thing off, but some surprising twists might take that decision out of her hands, and help comes from the person Nikki would least expect. One way or another, this will be a birthday that Nikki will never forget!",3.8,19,2018,http://covers.openlibrary.org/b/id/14418432-L.jpg
Les Bijoux de la Castafiore,Hergé,"series:tintin, Children's fiction, Comic books, strips, Adventure and adventurers, Fiction, Pictorial Belgian wit and humor, Cartoons and comics, Graphic novels, Adventure and adventurers, fiction, France, fiction, Caricatures and cartoons, Kings, queens, rulers, Muñequitos, tiras cómicas, Novela gráfica, Tintin (Fictitious character), Tintín (Personaje literario), Adventure and adventurers in fiction, Ficción juvenil, Aventuras, Tintin (fictitious character), fiction, Detective and mystery comic books, strips, Reporters and reporting, Children's stories, French","When Tintin and Captain Haddock happen across a community of gypsies they invite them home . . . just as Bianca Castafiore, the famous opera singer, decides to visit Tintin. It's chaos at Marlinspike Hall, and then a precious emerald goes missing!",2.7,80,1939,http://covers.openlibrary.org/b/id/755221-L.jpg
Spy camp,Stuart Gibbs,"Survival, Spies, Camps, Fiction, Juvenile fiction，kids friendly, Children's fiction, Spies, fiction, Survival, fiction, Camps, fiction, Social Themes, Law & Crime, Action & Adventure, JUVENILE FICTION, New Experience, Survival skills, Spy stories","As almost thirteen-year-old Ben, a student at the CIA's academy for future intelligence agents, prepares to go to spy summer camp, he receives a death threat from the evil organization SPYDER.",2.6,9,2007,http://covers.openlibrary.org/b/id/7415249-L.jpg
Stolen,Lucy Christopher,"Kidnapping, Adventure and adventurers, Fiction, Interpersonal relations, Kidnapping victims, Psychology, Stalkers","Gemma, a British city-living teenager, is kidnapped while on holiday with her parents. Her kidnapper, Ty, takes her to the wild land of outback Australia. To Gemma's city-eyes, the landscape is harsh and unforgiving and there are no other signs of human life for hundreds of kilometres in every direction. Here, there is no escape. Gemma must learn to deal with her predicament, or die trying to fight it. Ty, a young man, has other ideas for her. His childhood experience of living in outback Australia has forever changed the way he sees things. But he too has been living in the city; Gemma's city. Unlike Gemma, however, he has had enough. In outback Australia he sees an opportunity for a new kind of life; a life more connected to the earth. He has been watching and learning about Gemma for many years; when he kidnaps her, his plan finally begins to take shape. But Ty is not a stereotypical kidnapper and, over time, Gemma comes to see Ty in a new light, a light in which he is something more sensitive. The mysteries of Ty, and the mystery of her new life, start to take hold. She begins to feel something for her kidnapper when he wakes screaming in the night. Over the time spent with her captor, Gemma's appreciation of him develops into what could be referred to as Stockholm syndrome.",4.3,3,2009,http://covers.openlibrary.org/b/id/10443330-L.jpg
Quinto viaje al reino de la fantasía,"Elisabetta Dami, Danilo Barozzi, Julia Heim, David Nel·lo","Adventure and adventurers, Juvenile fiction, Quests (Expeditions), Mice, Elves, Fiction, Children's fiction, Stilton, geronimo (fictitious character), fiction, Mice, fiction, Fairies, fiction, Adventure and adventurers, fiction","After receiving a mysterious message summoning him to a meeting, Geronimo Stilton finds himself back in the Kingdom of Fantasy, summoned by the Elves, who want him to travel to the Great Explanatorium to find an answer to the earthquakes that are threatening the Kingdom.",4.1,21,2009,http://covers.openlibrary.org/b/id/14418994-L.jpg
Wild,Cheryl Strayed,"Travel, American Authors, Biography, Description and travel, Self-actualization (Psychology) in women, Hiking, American authors, Biographies as Topic, Healing power of Nature, Pacific (AK, CA, HI, NV, OR, WA), Adventure, BIOGRAPHY & AUTOBIOGRAPHY, Literary, LITERARY CRITICISM, American, General, Personal Memoirs, nyt:hardcover-nonfiction=2012-04-08, New York Times bestseller, Authors, biography, Pacific crest trail, Biography as Topic","A powerful, blazingly honest memoir: the story of an eleven-hundred-mile solo hike that broke down a young woman reeling from catastrophe—and built her back up again. At twenty-two, Cheryl Strayed thought she'd lost everything when her mother died young of cancer. Her family scattered in their grief, her marriage was soon destroyed, and slowly her life spun out of control. Four years after her mother's death, with nothing more to lose, Strayed made the most impulsive decision of her life: to hike the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State—and to do it alone. She had no experience as a long-distance hiker--indeed, she'd never gone backpacking before her first night on the trail. Her trek was little more than “an idea, vague and outlandish and full of promise.” But it was a promise of piecing back together a life that had come undone. Strayed faces down rattlesnakes and black bears, intense heat and record snowfalls, and both the beauty and intense loneliness of the trail. Told with great suspense and style, sparkling with warmth and humor, Wild vividly captures the terrors and pleasures of one young woman forging ahead against all odds on a journey that maddened, strengthened, and ultimately healed her.

[www.cherylstrayed.com][1]


  [1]: http://www.cherylstrayed.com/wild_108676.htm",4.1,16,2012,http://covers.openlibrary.org/b/id/7249596-L.jpg
Snow,Orhan Pamuk,"Social conditions, Journalists, Fiction, Exiles, Condiciones sociales, Islam and politics, Islamic fundamentalism, Authors, Turkish, Turkish Poets, Exiliados, Ficción, Autores turcos, Poets, Turkish, Turkish Authors, Turkish literature, Hijab (Islamic clothing), Traducciones al espanol, Novela, Novela turca, Literature, Fiction, general, Journalists, fiction, Turkey, fiction, Fiction, action & adventure, Istanbul (turkey), fiction, Fiction, political, Recherche, Türkisch, Text, Muslimin, Junge Frau, Kopftuch, Roman, Geschichte 2001 ff, Journalist, Türkischer, Belletristische Darstellung, Selbstmord, Ausgabe, Young women, Muslim women, Investigations, Literary, General, Journalists--turkey--fiction, Pl248.p34 k36513 2004, 894.3533, Turkish fiction","Touching, slyly comic, and humming with cerebral suspense—a masterful novel of ""political intrigue and philosophy, romance and noir"" (Vogue) and the lethal chemistry between secular doubt and Islamic fanaticism from the Nobel Prize winner.

An exiled poet named Ka returns to Turkey and travels to the forlorn city of Kars. His ostensible purpose is to report on a wave of suicides among religious girls forbidden to wear their head-scarves. But Ka is also drawn by his memories of the radiant Ipek, now recently divorced.

Amid blanketing snowfall and universal suspicion, Ka finds himself pursued by figures ranging from Ipek’s ex-husband to a charismatic terrorist. A lost gift returns with ecstatic suddenness. A theatrical evening climaxes in a massacre. And finding god may be the prelude to losing everything else.",4.4,9,2002,http://covers.openlibrary.org/b/id/6881426-L.jpg
Ten Years Later,Alexandre Dumas,"Fiction, Historical Fiction, OverDrive, Accessible book, France Hist. Louis XIV, 1643-1715 Fiction, History, Fiction, historical, general, Fiction, classics, Fiction, action & adventure, Fiction, general","In the months of March-July in 1844, in the magazine Le Siecle, the first portion of a story appeared, penned by the celebrated playwright Alexandre Dumas. It was based, he claimed, on some manuscripts he had found a year earlier in the Bibliotheque Nationale while researching a history he planned to write on Louis XIV. They chronicled the adventures of a young man named D'Artagnan who, upon entering Paris, became almost immediately embroiled in court intrigues, international politics, and ill-fated affairs between royal lovers.",4.0,19,1893,http://covers.openlibrary.org/b/id/14560464-L.jpg
The gorilla hunters,Robert Michael Ballantyne,"Gorilla, Animals, Description and travel, Adventure stories, Natural history, Big game hunting, Juvenile fiction, English fiction, Hunting stories, Hunters, Fiction, action & adventure, Africa, fiction, Hunting, Blacks, Youth, Conduct of life, Nature stories, Children, Outdoor life, Islands, Survival, Camping, Shipwrecks, Shipwreck survival, Pirates, Black people, Gorille, Romans, nouvelles, etc. pour la jeunesse, Histoires de chasse, Descriptions et voyages, Travel","Three English boys, shipwrecked on a deserted island, create an idyllic society despite typhoons, sharks, wild hogs, and hostile visitors, and then pirates kidnap one of the boys, whose adventures continue among the South Sea Islands.",4.2,5,1858,http://covers.openlibrary.org/b/id/2754310-L.jpg
The girl who was supposed to die,April Henry,"Mystery, Adventure fiction, JUVENILE FICTION / Action & Adventure / General, Adventure and adventurers, Juvenile fiction, Identity theft, JUVENILE FICTION / Social Issues / Friendship, JUVENILE FICTION / Mysteries & Detective Stories, Fiction, Detective and mystery stories, Amnesia, JUVENILE FICTION / Family / General (see also headings under Social Issues), Biological warfare, Survival, Mystery and detective stories, Children's fiction, Amnesia, fiction, Adventure and adventurers, fiction, Survival, fiction, Theft, fiction","""Take her out back and finish her off.""

She doesn't know who she is. She doesn't know where she is, or why. All she knows when she comes to in a ransacked cabin is that there are two men arguing over whether or not to kill her.

And that she must run.",4.1,5,2013,http://covers.openlibrary.org/b/id/9037104-L.jpg
Through Russian Snows,G. A. Henty,"Juvenile fiction, Campaigns, Napoleonic Wars, 1800-1815, Fiction, historical, general, Napoleonic wars, 1800-1815, fiction, Adventure stories, Large type books, Historical Fiction, Classics, Guerres napoléoniennes, 1800-1815, Campagnes et batailles, Romans, nouvelles, etc. pour la jeunesse, Military campaigns","Henty gives us two brothers as heroes, Frank and Julian Wyatt from Weymouth. Julian, through some fault of his own, is carried to France by smugglers and ends up in a French prison. Given the opportunity to fight for France in Germany, Julian agrees and is off to the invasion of Russia.
Brother Frank obtains a commission in the army in England, learns Russian, fights a duel, and is sent on detached service to Russia as aide-de-camp to Sir Robert Wilson.",3.7,24,1895,http://covers.openlibrary.org/b/id/2121829-L.jpg
El Zorro,Isabel Allende,"Adventure stories, History, Pirates, Fencing, Spaniards, 21st century, Fiction, Historical fiction, Chilean fiction, Shoshoni Indians, Zorro (Fictitious character), Historia, Ficción, Zorro (Personaje literario), California in fiction, Novela, Historias de aventuras, Chilean literature, Zorro (Personaje ficticio), California, Novela chilena, Literatura chilena, Spanish language materials, New York Times reviewed, Fiction, action & adventure, Zorro (fictitious character), fiction, Fiction, historical, general, California, fiction, Spain, Napoleonic Conquest, 1808-1813, Barcelona (Spain), Peace movements, Roman biographique, Roman d'aventures, Romans, nouvelles, Missions, Indiens d'Amérique, Roman historique, Franciscains, Zorro (Personnage fictif)","*El Zorro: comienza la leyenda* es una biografía ficticia de 2005 y la primera historia de los orígenes del héroe El Zorro, escrita por la autora chilena Isabel Allende. Es una precuela a los eventos de la historia original del Zorro, la novela *La maldición de Capistrano,* escrita por Johnston McCulley y publicada en 1919. También contiene numerosas referencias a otros trabajos relacionados con El Zorro, especialmente la película de 1998 *La máscara del Zorro.*",3.7,2,2005,http://covers.openlibrary.org/b/id/35705-L.jpg
Emil und die Detektive,"Erich Kästner, KASTNER","German language, Readers, Detective and mystery stories, Outlaws, Boys, Mothers and sons, Robbers and outlaws, Juvenile fiction, Robbery investigation, Fiction, Children's fiction, Mystery and detective stories, Berlin (germany), fiction, Child and youth fiction, Theft, fiction, Travel, fiction, Adventure and adventurers, fiction, Children's stories, Adventure stories, Drama (dramatic works by one author), Theft","On his first real train journey, travelling down to his grandmother in Berlin, Emil Tischbein is robbed of all his money. Emil gathers together a group of boys of his own age and sets out on the trail of the thief. Suggested level: primary, intermediate.",4.1,9,1930,http://covers.openlibrary.org/b/id/3065314-L.jpg
Four Blind Mice,James Patterson,"Fiction, Police, Alex Cross (Fictitious character), Courts-martial and courts of inquiry, Trials (Murder), Police psychologists, African American police, United States, Serial murderers, United States. Army. Special Forces, Accessible book, Protected DAISY, OverDrive, Short Stories, Large type books, Cross, alex (fictitious character), fiction, Washington (d.c.), fiction, Fiction, legal, Fiction, mystery & detective, police procedural, Fiction, psychological, Fiction, suspense, Fiction, thrillers, suspense, Adventure / thriller, collectionid:ac","Detective Alex Cross is on his way to resign from the Washington, D.C., Police Force when his partner shows up at his door with a case he can't refuse. One of John Sampson's oldest friends, from their days together in Vietnam, has been arrested for murder. Worse yet, he is subject to the iron hand of the United States Army. The evidence against him is strong enough to send him to the gas chamber.Sampson is certain his friend has been framed, and Alex's investigation turns up evidence overlooked-or concealed-by the military authorities. Drawing on their years of street training and an almost telepathic mutual trust, Cross and Sampson go deep behind military lines to confront the most terrifying-and deadly-killers they have ever encountered. Behind these three highly skilled killing machines there appears to be an even more threatening controller. Discovering the identity of this lethal genius will prove to be Cross's most terrifying challenge ever.On his visits home, Alex must confront another, more harrowing mystery: what's the matter with Nana Mama? As he explores the possibility of a new relationship with a woman who offers him new hope, Alex must also confront the fact that his beloved grandmother is only human.",3.4,7,2002,http://covers.openlibrary.org/b/id/189670-L.jpg
